,forest_cover,elevation_scaled,wetland
site_001,0.666001501985912,0.4080922423126504,1
site_002,0.8640150712931227,1.1341037410779844,1
site_003,0.9456351356011287,-0.06930209645308946,1
site_004,0.20765850327411806,-0.9369285417180258,1
site_005,0.4588216024276587,-0.9483205961167337,1
site_006,0.4136828024356771,1.476100263699772,0
site_007,0.6538192777015083,1.8484749346442393,1
site_008,0.6905176853995141,0.819161832390871,1
site_009,0.306917367107266,-1.4272495646133976,0
site_010,0.09214190896887309,-0.4004883833613083,0
site_011,0.0022483578446181873,1.391491965326846,0
site_012,0.4945317764925583,0.19848590033785452,1
site_013,0.416240823459914,-0.9403979945609426,0
site_014,0.36746458026145057,1.044750556906283,0
site_015,0.7212894824519073,-1.0373196816042047,1
site_016,0.5273792386775643,-0.3907797691116442,1
site_017,0.3995455768575994,1.0098363520660874,1
site_018,0.002715351797942467,0.2686764832536989,0
site_019,0.6420331772043734,0.40398768380112765,1
site_020,0.46441423742092436,0.6629306871117918,0
site_021,0.9282658810283109,-0.6349524589300314,0
site_022,0.33245453830486627,0.6831300827457718,1
site_023,0.16247266012235317,0.0633474847388598,1
site_024,0.6240792975757156,-0.6460307624499604,0
site_025,0.6092637054813306,-1.3335499390494812,0
site_026,0.0113895753237796,0.9920969643254925,0
site_027,0.7774534940323499,-1.2850246894725812,0
site_028,0.30106647872526227,1.1231476927865183,1
site_029,0.10458240124835916,-0.6405211822951917,0
site_030,0.134171862344318,0.44754867240445706,1
site_031,0.5128352644159169,0.3010171629598528,0
site_032,0.4118461399484752,-0.14272840018759111,1
site_033,0.6267485194766752,-0.8654736784281281,1
site_034,0.25098239787983034,1.1446913954065345,0
site_035,0.6673548846336431,-0.19830931102465668,1
site_036,0.2500296973120324,1.376350224308539,1
site_037,0.9791155870464678,-0.7530192808781236,0
site_038,0.6409579478773338,0.45720333557455173,0
site_039,0.9135166998614728,-1.4969885209362046,1
site_040,0.37288235581277984,1.5404331745399669,1
site_041,0.006142995754093383,-0.07906109540149454,0
site_042,0.7308060094224271,-0.8540662215165339,1
site_043,0.7563342220256202,-0.3377046481755191,1
site_044,0.43802561987898936,-1.687093590533906,1
site_045,0.44824044012954845,0.4143053344381253,0
site_046,0.9614154849704908,-1.0139739397346486,0
site_047,0.4149712618532533,0.9687066147224872,1
site_048,0.412524165408374,-0.5496499516427169,1
site_049,0.636879141136952,0.33802548362681806,1
site_050,0.30302692090967587,-0.453635330717861,1
site_051,0.5902724854452901,-0.8372509593292105,0
site_052,0.36453310603715294,-2.463292297968867,1
site_053,0.8563540592840505,0.4461340784620571,1
site_054,0.057730314292903095,-0.09977909405446957,0
site_055,0.2136361174435898,-0.738757703367053,1
site_056,0.7422412163437849,0.6866890845680244,0
site_057,0.15241813454575004,-0.2947917475757087,1
site_058,0.49822306389680837,2.262940689429386,0
site_059,0.7497226438487523,-0.424188425020642,0
site_060,0.9994985661497149,-0.22733594134910937,0
